"post_id","persons_id"
"1817","118"
"1817","464"
"1817","669"
"1817","1015"
"1817","1224"
"1817","1379"
"1817","1606"
"1817","1624"
"1818","113"
"1818","464"
"1818","1326"
"1818","1379"
"1818","1511"
"1818","1843"
"1818","1844"
"1819","351"
"1819","534"
"1819","675"
"1819","1850"
"1819","1851"
"1819","1852"
"1819","1853"
"1820","259"
"1820","263"
"1820","1259"
"1821","263"
"1822","263"
"1822","567"
"1823","263"
"1823","482"
"1823","847"
"1824","162"
"1824","263"
"1824","482"
"1824","1065"
"1824","1397"
"1824","1606"
"1824","1724"
"1824","1825"
"1824","1827"
"1824","1830"
"1824","1834"
"1824","1846"
"1824","1848"
"1824","1849"
"1825","81"
"1825","675"
"1825","1850"
"1825","1851"
"1825","1852"
"1826","178"
"1826","263"
"1826","1143"
"1826","1825"
"1826","1828"
"1826","1836"
"1826","1854"
"1827","159"
"1827","384"
"1827","798"
"1827","981"
"1827","1061"
"1827","1520"
"1827","1855"
"1828","1475"
"1829","810"
"1829","1151"
"1829","1154"
"1830","494"
"1831","360"
"1831","361"
"1831","691"
"1831","992"
"1832","178"
"1834","263"
"1834","384"
"1834","1520"
"1835","161"
"1836","3"
"1836","161"
"1836","795"
"1836","1151"
"1836","1155"
"1836","1156"
"1836","1297"
"1836","1631"
"1837","259"
"1837","263"
"1837","482"
"1838","494"
"1838","549"
"1838","1541"
"1838","1606"
"1839","377"
"1839","1544"
"1840","798"
"1840","1015"
"1840","1155"
"1840","1156"
"1841","263"
"1842","81"
"1842","351"
"1842","538"
"1842","974"
"1843","263"
"1843","482"
"1843","629"
"1844","17"
"1844","351"
"1844","538"
"1845","263"
"1845","482"
"1845","629"
"1845","981"
"1845","1297"
"1846","558"
"1846","1541"
"1846","1607"
"1846","1613"
"1846","1856"
"1846","1857"
"1847","242"
"1847","594"
"1847","822"
"1848","340"
"1848","531"
"1848","558"
"1848","678"
"1848","1606"
"1848","2401"
"1849","17"
"1849","329"
"1849","351"
"1849","675"
"1849","1168"
"1850","81"
"1850","538"
"1850","675"
"1850","1168"
"1851","534"
"1851","538"
"1851","675"
"1851","973"
"1851","1168"
"1851","1255"
"1852","494"
"1852","549"
"1853","675"
"1853","1180"
"1853","1184"
"1854","263"
"1854","1065"
"1855","329"
"1855","675"
"1856","679"
"1856","680"
"1856","1297"
"1856","1775"
"1856","1859"
"1857","81"
"1857","327"
"1857","534"
"1857","538"
"1857","1860"
"1858","534"
"1858","538"
"1859","108"
"1859","126"
"1859","263"
"1859","266"
"1859","482"
"1859","1520"
"1859","1736"
"1859","1861"
"1860","1160"
"1860","1623"
"1861","159"
"1861","1862"
"1861","1863"
"1862","798"
"1862","1151"
"1862","1154"
"1862","1155"
"1862","1866"
"1862","1867"
"1862","1868"
"1863","361"
"1863","690"
"1863","691"
"1863","992"
"1864","692"
"1864","1046"
"1864","1582"
"1864","1587"
"1864","1599"
"1864","1626"
"1865","263"
"1865","1869"
"1866","15"
"1866","586"
"1866","1870"
"1867","81"
"1867","534"
"1867","538"
"1867","622"
"1867","973"
"1868","805"
"1868","1160"
"1868","1541"
"1869","263"
"1870","494"
"1870","679"
"1870","1151"
"1870","1223"
"1870","1475"
"1870","1533"
"1870","1871"
"1871","494"
"1871","549"
"1872","1160"
"1873","1160"
"1874","178"
"1874","244"
"1874","1144"
"1875","377"
"1876","929"
"1876","1295"
"1876","1872"
"1876","1873"
"1878","178"
"1878","263"
"1878","1144"
"1879","178"
"1879","263"
"1879","1065"
"1879","1143"
"1879","1144"
"1880","377"
"1880","816"
"1881","263"
"1881","549"
"1881","1144"
"1882","329"
"1882","538"
"1883","263"
"1883","589"
"1883","929"
"1883","930"
"1884","263"
"1885","798"
"1885","1015"
"1885","1410"
"1886","282"
"1886","538"
"1886","1874"
"1886","1875"
"1886","1876"
"1886","1877"
"1887","263"
"1887","1624"
"1888","1160"
"1888","1606"
"1888","1624"
"1888","1875"
"1888","1877"
"1889","83"
"1889","1019"
"1891","711"
"1891","1878"
"1892","263"
"1892","384"
"1892","1520"
"1893","263"
"1894","597"
"1894","1879"
"1894","1880"
"1894","1881"
"1894","1922"
"1895","27"
"1895","33"
"1895","43"
"1895","320"
"1895","351"
"1895","370"
"1895","558"
"1895","1582"
"1895","1587"
"1895","1605"
"1895","1606"
"1895","1623"
"1895","1626"
"1896","27"
"1896","450"
"1896","453"
"1896","455"
"1896","930"
"1896","1365"
"1896","1442"
"1896","1582"
"1896","1606"
"1896","1619"
"1896","1623"
"1896","1882"
"1897","27"
"1897","320"
"1897","462"
"1897","558"
"1897","1042"
"1897","1582"
"1897","1606"
"1897","1623"
"1897","1626"
"1898","27"
"1898","314"
"1898","798"
"1898","1580"
"1898","1582"
"1898","1623"
"1898","1626"
"1898","1631"
"1899","27"
"1899","30"
"1899","42"
"1899","43"
"1899","923"
"1899","1099"
"1899","1100"
"1899","1582"
"1899","1587"
"1899","1599"
"1899","1622"
"1899","1623"
"1899","1626"
"1899","1883"
"1900","798"
"1900","1015"
"1900","1155"
"1900","1410"
"1900","1867"
"1900","1872"
"1900","1884"
"1901","531"
"1901","1144"
"1901","1606"
"1902","1533"
"1902","1539"
"1903","263"
"1904","1223"
"1905","531"
"1905","939"
"1905","1144"
"1906","939"
"1906","1144"
"1907","939"
"1907","1144"
"1908","885"
"1909","1160"
"1910","1160"
"1911","263"
"1911","1073"
"1912","1065"
"1913","939"
"1914","939"
"1917","939"
"1917","1624"
"1918","939"
"1918","1624"
"1919","159"
"1919","939"
"1919","1624"
"1920","569"
"1920","1547"
"1920","1548"
"1920","1604"
"1920","1624"
"1921","168"
"1921","169"
"1921","170"
"1921","537"
"1921","538"
"1922","471"
"1922","549"
"1923","537"
"1923","538"
"1924","329"
"1924","1900"
"1925","1328"
"1925","1520"
"1926","939"
"1926","1624"
"1927","939"
"1927","941"
"1928","939"
"1928","941"
"1928","1672"
"1929","1046"
"1930","159"
"1930","939"
"1930","941"
"1930","1144"
"1931","1046"
"1931","1606"
"1932","159"
"1932","939"
"1933","159"
"1933","939"
"1934","297"
"1934","1160"
"1934","1244"
"1935","485"
"1935","1078"
"1935","1816"
"1936","939"
"1936","1396"
"1937","263"
"1938","159"
"1938","939"
"1939","159"
"1939","939"
"1939","940"
"1939","941"
"1939","1903"
"1940","159"
"1940","939"
"1940","941"
"1940","1904"
"1941","138"
"1941","1131"
"1941","1132"
"1942","772"
"1942","887"
"1942","1606"
"1942","1624"
"1943","500"
"1943","939"
"1944","351"
"1944","669"
"1944","939"
"1944","1151"
"1944","1180"
"1944","1540"
"1944","1582"
"1945","263"
"1945","1600"
"1945","1614"
"1945","1905"
"1946","263"
"1946","1604"
"1946","1606"
"1946","1702"
"1946","1905"
"1946","2415"
"1946","2417"
"1949","1427"
"1950","343"
"1950","669"
"1951","1155"
"1951","1295"
"1951","1906"
"1952","531"
"1952","1606"
"1953","423"
"1953","597"
"1953","939"
"1954","312"
"1954","1295"
"1954","1907"
"1954","1908"
"1955","939"
"1955","941"
"1956","343"
"1956","351"
"1956","423"
"1956","464"
"1956","669"
"1956","1180"
"1956","1582"
"1957","939"
"1957","941"
"1958","939"
"1958","941"
"1959","1273"
"1959","1301"
"1959","1577"
"1959","1909"
"1960","81"
"1960","404"
"1960","1046"
"1961","83"
"1961","1011"
"1961","1020"
"1961","1025"
"1961","1631"
"1963","396"
"1964","58"
"1964","558"
"1964","915"
"1964","939"
"1964","940"
"1964","941"
"1964","1919"
"1964","1920"
"1965","57"
"1965","531"
"1965","558"
"1965","1442"
"1967","939"
"1967","980"
"1967","1624"
"1968","154"
"1969","558"
"1969","939"
"1970","93"
"1970","894"
"1970","1513"
"1970","1515"
"1970","1910"
"1971","423"
"1971","939"
"1971","940"
"1971","941"
"1971","1379"
"1972","90"
"1973","939"
"1973","1270"
"1973","1624"
"1975","939"
"1975","1911"
"1975","1912"
"1976","939"
"1976","1911"
"1977","939"
"1978","939"
"1978","1086"
"1979","939"
"1979","1086"
"1979","1913"
"1980","1086"
"1981","873"
"1981","883"
"1981","939"
"1982","816"
"1982","939"
"1983","1475"
"1984","793"
"1984","887"
"1984","939"
"1985","939"
"1986","1046"
"1987","939"
"1988","939"
"1988","1915"
"1989","772"
"1989","793"
"1990","1071"
"1990","1916"
"1990","1917"
"1991","263"
"1991","267"
"1991","1397"
"1991","1631"
"1992","377"
"1993","939"
"1993","1304"
"1994","939"
"1994","940"
"1994","941"
"1994","980"
"1995","17"
"1995","327"
"1995","329"
"1995","351"
"1995","423"
"1995","455"
"1995","534"
"1995","675"
"1995","887"
"1995","896"
"1995","939"
"1995","1180"
"1995","1396"
"1995","1397"
"1995","1582"
"1996","1046"
"1996","1606"
"1997","939"
"1998","534"
"1998","896"
"1998","939"
"1999","939"
"1999","1918"
"2000","263"
"2000","482"
"2001","113"
"2002","939"
"2002","1073"
"2003","329"
"2003","887"
"2003","1603"
"2004","307"
"2004","400"
"2004","423"
"2004","464"
"2004","1301"
"2005","772"
"2005","1588"
"2005","1603"
"2005","1606"
"2005","1628"
"2005","1744"
"2006","423"
"2006","793"
"2006","939"
"2006","1077"
"2006","1396"
"2007","793"
"2007","937"
"2007","1073"
"2007","1077"
"2007","1396"
"2007","1923"
"2007","1924"
"2008","793"
"2008","937"
"2008","939"
"2008","1073"
"2008","1744"
"2009","772"
"2009","887"
"2009","1268"
"2009","1606"
"2009","1731"
"2009","1925"
"2009","1926"
"2010","500"
"2010","939"
"2010","941"
"2010","1510"
"2011","331"
"2011","772"
"2011","1268"
"2011","1731"
"2011","1927"
"2011","1928"
"2012","939"
"2012","1439"
"2013","549"
"2013","793"
"2013","939"
"2013","1929"
"2013","1930"
"2014","423"
"2014","549"
"2014","930"
"2014","939"
"2014","956"
"2014","980"
"2014","1301"
"2014","1624"
"2014","1813"
"2014","1930"
"2014","1931"
"2014","1932"
"2014","1933"
"2015","423"
"2015","939"
"2015","956"
"2015","980"
"2015","1931"
"2015","1933"
"2016","939"
"2016","941"
"2016","1933"
"2018","500"
"2018","939"
"2019","939"
"2020","939"
"2021","939"
"2022","939"
"2022","980"
"2023","329"
"2023","675"
"2023","1934"
"2024","1935"
"2025","1466"
"2025","1874"
"2025","1936"
"2026","939"
"2026","980"
"2027","500"
"2027","939"
"2028","939"
"2029","939"
"2030","259"
"2030","852"
"2030","939"
"2030","1259"
"2030","1396"
"2030","1937"
"2031","307"
"2031","1217"
"2031","1939"
"2031","1941"
"2032","939"
"2032","1396"
"2032","1940"
"2033","939"
"2033","1942"
"2034","423"
"2034","939"
"2035","939"
"2035","1943"
"2036","939"
"2036","1606"
"2036","1944"
"2039","21"
"2039","939"
"2040","939"
"2040","941"
"2041","939"
"2041","1623"
"2042","939"
"2042","1301"
"2043","939"
"2043","941"
"2043","1301"
"2044","1301"
"2045","939"
"2045","1301"
"2045","1945"
"2045","1946"
"2047","939"
"2047","980"
"2047","1301"
"2049","939"
"2049","980"
"2049","1301"
"2049","1672"
"2050","769"
"2050","887"
"2050","939"
"2050","1301"
"2050","1874"
"2051","887"
"2051","1301"
"2052","500"
"2052","887"
"2052","939"
"2052","1947"
"2053","887"
"2053","937"
"2053","939"
"2054","937"
"2054","939"
"2054","1624"
"2055","939"
"2055","1624"
"2056","1046"
"2057","327"
"2057","769"
"2057","772"
"2058","939"
"2059","798"
"2059","930"
"2059","1155"
"2059","1295"
"2059","1884"
"2059","1951"
"2059","1952"
"2059","1953"
"2060","378"
"2060","379"
"2060","500"
"2060","939"
"2060","940"
"2060","941"
"2061","939"
"2063","542"
"2064","939"
"2065","558"
"2065","939"
"2065","1623"
"2065","1856"
"2066","147"
"2066","351"
"2066","485"
"2066","795"
"2066","1606"
"2067","485"
"2067","667"
"2067","797"
"2067","799"
"2067","1015"
"2067","1019"
"2067","1513"
"2067","1514"
"2067","1636"
"2067","1955"
"2067","1956"
"2067","1958"
"2067","1959"
"2068","379"
"2068","939"
"2069","379"
"2069","939"
"2070","329"
"2070","351"
"2070","675"
"2071","379"
"2072","379"
"2072","939"
"2073","939"
"2073","1960"
"2074","462"
"2074","939"
"2074","1604"
"2075","939"
"2076","939"
"2077","343"
"2077","1301"
"2078","17"
"2078","327"
"2078","329"
"2078","384"
"2078","675"
"2078","973"
"2078","1008"
"2078","1520"
"2078","1521"
"2078","1603"
"2079","939"
"2079","1624"
"2080","939"
"2080","1606"
"2081","677"
"2081","1475"
"2082","83"
"2082","777"
"2082","1012"
"2083","939"
"2083","1172"
"2083","1354"
"2083","1964"
"2084","939"
"2084","941"
"2084","1592"
"2084","1624"
"2084","1965"
"2085","939"
"2085","1592"
"2086","853"
"2086","939"
"2086","1966"
"2087","853"
"2087","939"
"2087","1439"
"2087","1966"
"2088","329"
"2088","769"
"2088","772"
"2088","887"
"2088","1592"
"2088","1603"
"2089","939"
"2089","1624"
"2090","795"
"2090","798"
"2090","1155"
"2090","1592"
"2090","1604"
"2090","1967"
"2090","1968"
"2091","798"
"2091","1155"
"2091","1606"
"2092","930"
"2092","1315"
"2093","17"
"2093","327"
"2093","329"
"2093","351"
"2093","1160"
"2093","1520"
"2094","1062"
"2094","1084"
"2094","1124"
"2094","1672"
"2094","1936"
"2095","939"
"2096","939"
"2096","1155"
"2097","126"
"2097","489"
"2098","329"
"2098","455"
"2098","896"
"2098","1160"
"2099","263"
"2100","939"
"2100","1510"
"2101","939"
"2101","1086"
"2101","1087"
"2101","1101"
"2101","1129"
"2101","1130"
"2101","1160"
"2101","1343"
"2101","1439"
"2101","1513"
"2102","494"
"2102","549"
"2103","68"
"2103","793"
"2103","939"
"2103","1215"
"2103","1343"
"2103","1439"
"2104","23"
"2104","68"
"2104","588"
"2104","939"
"2104","1160"
"2104","1244"
"2104","1419"
"2104","1439"
"2104","1863"
"2105","741"
"2105","798"
"2105","1371"
"2106","344"
"2106","741"
"2106","1244"
"2106","1301"
"2106","1604"
"2107","675"
"2107","1151"
"2108","939"
"2108","1175"
"2109","23"
"2109","68"
"2109","229"
"2109","939"
"2109","1175"
"2109","1969"
"2110","485"
"2110","795"
"2110","797"
"2110","798"
"2110","930"
"2110","1582"
"2111","230"
"2111","795"
"2111","798"
"2111","1544"
"2111","1582"
"2111","1606"
"2111","1636"
"2112","665"
"2112","669"
"2112","795"
"2112","798"
"2112","1015"
"2112","1019"
"2112","1606"
"2114","795"
"2114","797"
"2114","798"
"2114","929"
"2114","930"
"2114","934"
"2114","935"
"2114","1301"
"2114","1304"
"2114","1578"
"2115","230"
"2115","344"
"2115","485"
"2115","795"
"2115","797"
"2115","798"
"2115","801"
"2115","930"
"2115","1064"
"2115","1084"
"2117","516"
"2117","616"
"2117","669"
"2117","1539"
"2117","1582"
"2118","939"
"2119","378"
"2119","379"
"2119","939"
"2119","1160"
"2120","798"
"2120","930"
"2120","1151"
"2120","1155"
"2120","1156"
"2120","1970"
"2121","793"
"2121","939"
"2122","106"
"2122","263"
"2123","244"
"2123","796"
"2123","798"
"2123","1019"
"2123","1021"
"2123","1151"
"2123","1154"
"2124","261"
"2124","1208"
"2124","1244"
"2124","1606"
"2125","314"
"2125","793"
"2125","1623"
"2126","126"
"2126","351"
"2126","489"
"2126","638"
"2126","1971"
"2127","929"
"2127","1155"
"2128","379"
"2128","939"
"2129","939"
"2129","1972"
"2130","797"
"2130","798"
"2130","799"
"2131","263"
"2132","327"
"2132","749"
"2132","1025"
"2132","1606"
"2133","939"
"2133","941"
"2134","344"
"2134","795"
"2134","798"
"2136","939"
"2136","1160"
"2136","1301"
"2136","1606"
"2137","939"
"2137","1301"
"2138","795"
"2138","798"
"2138","1155"
"2139","174"
"2139","522"
"2139","939"
"2139","1160"
"2140","65"
"2140","797"
"2140","798"
"2140","930"
"2141","688"
"2141","1044"
"2141","1046"
"2142","134"
"2142","900"
"2142","1145"
"2142","1268"
"2142","1551"
"2142","1973"
"2143","1046"
"2143","1178"
"2143","1544"
"2144","462"
"2144","464"
"2144","939"
"2145","522"
"2145","939"
"2145","1124"
"2145","1126"
"2145","1301"
"2145","1974"
"2146","378"
"2146","423"
"2146","597"
"2146","939"
"2146","1015"
"2147","312"
"2147","798"
"2147","930"
"2147","1155"
"2147","1884"
"2147","1952"
"2147","1953"
"2147","1975"
"2148","329"
"2148","331"
"2148","602"
"2148","769"
"2148","1768"
"2149","471"
"2150","329"
"2150","455"
"2150","930"
"2150","945"
"2150","973"
"2150","1160"
"2150","1976"
"2151","523"
"2152","118"
"2152","749"
"2152","1977"
"2153","939"
"2153","1978"
"2154","247"
"2154","1154"
"2154","1155"
"2154","1156"
"2154","1884"
"2154","1979"
"2154","1980"
"2154","1981"
"2155","749"
"2155","1084"
"2155","1616"
"2155","1977"
"2156","939"
"2156","1513"
"2156","1982"
"2157","939"
"2158","307"
"2158","604"
"2158","1983"
"2159","816"
"2159","939"
"2159","971"
"2160","1613"
"2161","749"
"2161","1544"
"2161","1840"
"2162","939"
"2162","971"
"2163","749"
"2163","1084"
"2163","1542"
"2163","1984"
"2163","1985"
"2164","930"
"2164","1155"
"2164","1986"
"2165","297"
"2165","939"
"2165","971"
"2165","1987"
"2166","749"
"2166","1015"
"2166","1988"
"2167","263"
"2167","589"
"2167","798"
"2167","929"
"2167","1631"
"2168","378"
"2168","939"
"2168","971"
"2169","351"
"2169","485"
"2169","1124"
"2169","1283"
"2169","1301"
"2169","1322"
"2170","939"
"2170","971"
"2170","1989"
"2171","939"
"2172","939"
"2172","971"
"2172","1990"
"2173","17"
"2173","28"
"2173","327"
"2173","329"
"2173","331"
"2173","351"
"2173","896"
"2173","1008"
"2173","1387"
"2173","1544"
"2173","1603"
"2174","126"
"2174","939"
"2174","1991"
"2175","939"
"2175","1992"
"2176","749"
"2176","930"
"2176","1015"
"2176","1046"
"2176","1606"
"2177","263"
"2178","749"
"2178","1301"
"2179","149"
"2179","1606"
"2180","60"
"2180","939"
"2181","939"
"2181","971"
"2182","60"
"2182","939"
"2182","971"
"2183","939"
"2183","1301"
"2183","1306"
"2184","19"
"2185","327"
"2185","329"
"2185","769"
"2185","1520"
"2186","60"
"2186","939"
"2186","1301"
"2187","749"
"2187","778"
"2187","1187"
"2188","873"
"2188","939"
"2188","1301"
"2189","60"
"2189","939"
"2189","1301"
"2190","126"
"2190","392"
"2190","393"
"2190","451"
"2190","749"
"2190","930"
"2190","1623"
"2190","1991"
"2191","60"
"2191","939"
"2191","971"
"2192","939"
"2192","971"
"2193","939"
"2193","971"
"2194","939"
"2194","971"
"2195","1546"
"2196","939"
"2196","1653"
"2196","1840"
"2197","1546"
"2198","939"
"2198","980"
"2199","873"
"2199","939"
"2199","1240"
"2199","1965"
"2199","1994"
"2199","2207"
"2199","2420"
"2199","2421"
"2200","939"
"2200","980"
"2201","327"
"2201","329"
"2201","769"
"2201","793"
"2201","1520"
"2202","379"
"2202","971"
"2203","83"
"2203","88"
"2203","451"
"2203","462"
"2203","464"
"2203","930"
"2203","1025"
"2203","1244"
"2203","1322"
"2203","1503"
"2203","1520"
"2203","1544"
"2203","1606"
"2203","1995"
"2203","1996"
"2204","379"
"2204","971"
"2205","441"
"2205","1520"
"2205","1521"
"2205","1997"
"2206","210"
"2206","282"
"2206","636"
"2206","1383"
"2207","329"
"2208","464"
"2209","769"
"2209","887"
"2209","1520"
"2210","68"
"2210","1520"
"2210","1778"
"2210","1872"
"2211","174"
"2211","379"
"2211","522"
"2211","852"
"2211","1396"
"2211","1964"
"2212","329"
"2212","1433"
"2213","873"
"2213","939"
"2213","971"
"2214","60"
"2214","939"
"2214","971"
"2215","3"
"2215","73"
"2215","334"
"2215","335"
"2215","464"
"2215","1015"
"2215","1151"
"2215","1295"
"2215","1296"
"2215","1297"
"2215","1512"
"2215","1541"
"2215","1872"
"2215","1999"
"2216","939"
"2216","971"
"2217","749"
"2217","1606"
"2218","549"
"2218","854"
"2218","1437"
"2218","1607"
"2219","939"
"2219","971"
"2220","772"
"2220","1520"
"2220","1606"
"2221","175"
"2221","2001"
"2222","360"
"2222","379"
"2223","117"
"2223","118"
"2223","749"
"2223","1465"
"2224","312"
"2224","795"
"2224","798"
"2224","1151"
"2224","1155"
"2224","1215"
"2224","1884"
"2224","1953"
"2224","1975"
"2224","1979"
"2224","1980"
"2224","1981"
"2224","2002"
"2224","2003"
"2224","2004"
"2224","2005"
"2225","1218"
"2225","1512"
"2225","1606"
"2226","939"
"2226","971"
"2226","1301"
"2227","378"
"2228","939"
"2229","60"
"2229","379"
"2229","939"
"2230","795"
"2230","1155"
"2230","1970"
"2230","1975"
"2230","1980"
"2231","263"
"2232","939"
"2232","1301"
"2233","939"
"2234","28"
"2234","329"
"2234","1168"
"2234","1389"
"2237","939"
"2238","939"
"2239","939"
"2239","1301"
"2240","404"
"2240","1345"
"2240","1606"
"2240","2006"
"2241","939"
"2242","939"
"2242","1042"
"2243","939"
"2243","1606"
"2244","199"
"2244","384"
"2244","1305"
"2244","1519"
"2244","1520"
"2245","939"
"2245","1301"
"2246","939"
"2246","1301"
"2247","939"
"2247","1301"
"2248","423"
"2248","709"
"2248","939"
"2248","1301"
"2248","2008"
"2249","182"
"2249","610"
"2249","616"
"2249","636"
"2249","749"
"2249","751"
"2249","840"
"2249","841"
"2249","952"
"2249","1244"
"2249","1462"
"2249","1544"
"2249","1606"
"2249","1607"
"2249","1613"
"2249","1630"
"2249","2009"
"2250","263"
"2250","749"
"2250","1606"
"2250","2010"
"2251","749"
"2251","1086"
"2251","1606"
"2251","2011"
"2253","351"
"2253","939"
"2253","1301"
"2254","939"
"2254","1301"
"2255","28"
"2255","97"
"2255","329"
"2255","578"
"2255","887"
"2255","1384"
"2255","1606"
"2256","1437"
"2257","1155"
"2257","1279"
"2257","2013"
"2258","939"
"2258","1301"
"2259","2014"
"2260","749"
"2260","1324"
"2260","1606"
"2261","1090"
"2261","1606"
"2262","263"
"2262","709"
"2263","382"
"2263","495"
"2263","511"
"2263","579"
"2263","930"
"2263","1606"
"2264","321"
"2264","890"
"2264","899"
"2264","1544"
"2264","1582"
"2264","1587"
"2264","1599"
"2264","1604"
"2264","1606"
"2264","1614"
"2264","1626"
"2265","379"
"2266","379"
"2267","28"
"2267","329"
"2267","331"
"2267","347"
"2267","464"
"2267","1437"
"2267","1606"
"2268","464"
"2268","599"
"2268","748"
"2268","749"
"2268","1513"
"2268","1606"
"2268","1774"
"2268","2016"
"2268","2017"
"2269","939"
"2269","1433"
"2270","81"
"2270","118"
"2270","313"
"2270","795"
"2270","798"
"2270","1019"
"2270","1025"
"2270","1582"
"2270","1599"
"2270","1606"
"2270","1611"
"2270","1615"
"2270","1618"
"2270","1631"
"2271","464"
"2271","1359"
"2271","1544"
"2271","1582"
"2271","1604"
"2271","1624"
"2272","939"
"2272","1606"
"2273","4"
"2273","623"
"2273","1155"
"2273","1295"
"2273","1606"
"2274","749"
"2274","751"
"2274","1307"
"2274","1606"
"2274","2018"
"2274","2019"
"2275","15"
"2275","33"
"2275","42"
"2275","81"
"2275","321"
"2275","464"
"2275","599"
"2275","669"
"2275","689"
"2275","798"
"2275","899"
"2275","1021"
"2275","1025"
"2275","1184"
"2275","1541"
"2275","1544"
"2275","1558"
"2275","1582"
"2275","1599"
"2275","1604"
"2275","1611"
"2275","1613"
"2275","1624"
"2275","1631"
"2275","1634"
"2275","1802"
"2276","81"
"2276","1019"
"2276","1582"
"2277","749"
"2277","751"
"2277","1606"
"2278","939"
"2278","1624"
"2279","772"
"2279","887"
"2279","1606"
"2280","367"
"2280","669"
"2280","1015"
"2280","1025"
"2280","1541"
"2280","1544"
"2280","1580"
"2280","1582"
"2280","1604"
"2280","1631"
"2281","263"
"2281","1582"
"2281","1604"
"2281","1606"
"2281","1624"
"2282","939"
"2282","1433"
"2282","1437"
"2282","2020"
"2283","522"
"2283","939"
"2284","1301"
"2285","1582"
"2286","423"
"2286","597"
"2286","939"
"2286","1433"
"2286","1437"
"2287","1044"
"2287","1046"
"2287","1047"
"2287","1048"
"2287","1544"
"2288","244"
"2288","329"
"2288","822"
"2288","1520"
"2288","1541"
"2289","97"
"2289","329"
"2289","822"
"2289","1520"
"2290","638"
"2290","1599"
"2290","2021"
"2290","2022"
"2291","28"
"2291","64"
"2291","97"
"2291","300"
"2291","329"
"2291","822"
"2291","1160"
"2291","1384"
"2291","1387"
"2291","1389"
"2291","1467"
"2291","2023"
"2292","939"
"2292","1607"
"2293","314"
"2293","462"
"2293","464"
"2293","930"
"2293","968"
"2293","1019"
"2293","1155"
"2293","1539"
"2293","1606"
"2294","219"
"2294","300"
"2294","329"
"2294","331"
"2294","1467"
"2294","2024"
"2294","2025"
"2295","312"
"2295","798"
"2295","1155"
"2295","1295"
"2295","1606"
"2295","1975"
"2295","1979"
"2295","1980"
"2295","1981"
"2295","1986"
"2295","2026"
"2296","28"
"2296","29"
"2296","31"
"2296","34"
"2296","36"
"2296","37"
"2296","41"
"2296","318"
"2296","320"
"2296","323"
"2296","578"
"2296","1078"
"2296","1128"
"2296","1160"
"2296","1391"
"2296","1520"
"2296","1582"
"2296","1872"
"2296","2027"
"2297","1301"
"2297","1541"
"2298","939"
"2299","329"
"2299","538"
"2299","1008"
"2299","1154"
"2299","1160"
"2299","1520"
"2300","344"
"2300","464"
"2300","798"
"2300","877"
"2300","1539"
"2301","263"
"2301","749"
"2302","111"
"2303","531"
"2304","68"
"2304","314"
"2304","321"
"2304","344"
"2304","351"
"2304","423"
"2304","597"
"2304","669"
"2304","798"
"2304","1604"
"2304","1624"
"2304","1987"
"2304","2028"
"2305","990"
"2305","1433"
